NPG,NPxG,NPxG90,NPxG90xA90,a,apps,goals,id,min,number,player,team,xA,xA90,xG,xG90,xG90xA90,xGBuildup,xGBuildup90,xGChain,xGChain90
0,0.0,0.0,0.0,0,12,0,4401,1080,218,Emiliano Martinez,Aston Villa,0.0,0.0,0.0,0.0,0.0,1.50486633554101,0.12540552796175083,1.50486633554101,0.12540552796175083
0,0.0,0.0,0.003237487282603979,0,8,0,5061,720,219,Kepa,Bournemouth,0.025899898260831833,0.003237487282603979,0.0,0.0,0.003237487282603979,1.1911970414221287,0.14889963017776608,1.1911970414221287,0.14889963017776608
0,0.4567635543644428,0.058810758072675044,0.23529513127494267,0,10,0,5136,699,220,Estupiñán,Brighton,1.370695298537612,0.17648437320226765,0.4567635543644428,0.058810758072675044,0.23529513127494267,2.8044856041669846,0.36109256706012677,3.8269063979387283,0.4927347293483341
0,0.8904745504260063,0.13424239453658388,0.42898167935597836,2,11,0,5221,597,221,Leon Bailey,Aston Villa,1.9551039226353168,0.2947392848193945,0.8904745504260063,0.13424239453658388,0.42898167935597836,1.3901111353188753,0.2095644927616395,3.156239563599229,0.47581500958782347
0,0.7131863906979561,0.31619101065426625,0.49350875021495255,0,11,0,5543,203,222,Gabriel Jesus,Arsenal,0.3999500125646591,0.1773177395606863,0.7131863906979561,0.31619101065426625,0.49350875021495255,0.5125034935772419,0.2272182976450826,1.4761388152837753,0.6544457801750728
0,0.7124193888157606,0.05855501825882964,0.23406190996708937,4,13,0,5545,1095,223,Wilfred Ndidi,Leicester,2.13533384911716,0.17550689170825973,0.7124193888157606,0.05855501825882964,0.23406190996708937,3.5006858659908175,0.2877276054239028,6.141555972397327,0.5047854223888214
0,0.0,0.0,0.0,0,13,0,5552,1170,224,Nick Pope,Newcastle United,0.0,0.0,0.0,0.0,0.0,1.8847873844206333,0.14498364495543334,1.8847873844206333,0.14498364495543334
0,0.8273034133017063,0.07980418777829965,0.2840204145220315,1,11,0,5553,933,225,Declan Rice,Arsenal,2.117041550576687,0.20421622674373185,0.8273034133017063,0.07980418777829965,0.2840204145220315,3.5439088568091393,0.3418561598208173,5.372583195567131,0.518255613720302
0,0.12602733075618744,0.7561639845371246,0.7561639845371246,0,2,0,5560,15,226,Scott McTominay,Manchester United,0.0,0.0,0.12602733075618744,0.7561639845371246,0.7561639845371246,0.0,0.0,0.12602733075618744,0.7561639845371246
0,0.0,0.0,0.00696028396487236,0,4,0,5590,180,227,Tosin Adarabioyo,Chelsea,0.01392056792974472,0.00696028396487236,0.0,0.0,0.00696028396487236,1.5821245312690735,0.7910622656345367,1.5821245312690735,0.7910622656345367
